City,Location,lat,lon,pollutant,source,unit,value,time,country
monitoring network of Athens,NET-GR016A,38.14352099999999,23.758195,O3,EEA Greece,µg/m³,65,2024-03-10T11:30:00+05:30,Greece
monitoring network of Athens,NET-GR016A,38.05132199999999,23.538432,NO2,EEA Greece,µg/m³,14,2024-03-08T18:30:00+05:30,Greece
monitoring network of Central Macedonia Region,NET-GR007A,40.673452999999995,22.893219,O3,EEA Greece,µg/m³,63,2024-03-08T16:30:00+05:30,Greece
monitoring network of Central Macedonia Region,NET-GR007A,40.673452999999995,22.893219,NO2,EEA Greece,µg/m³,21,2024-03-08T16:30:00+05:30,Greece
monitoring network of Volos,NET-GR014A,39.36671099999999,22.942922,PM2.5,EEA Greece,µg/m³,24,2024-02-21T13:30:00+05:30,Greece
monitoring network of Central Macedonia Region,NET-GR007A,40.657841999999995,22.802169,NO2,EEA Greece,µg/m³,10,2024-01-30T02:30:00+05:30,Greece
monitoring network of Central Macedonia Region,NET-GR007A,40.657841999999995,22.802169,O3,EEA Greece,µg/m³,43,2024-01-30T02:30:00+05:30,Greece
ΑΤΤΙΚΗ,GR0035A,38.06963348,23.77688599,PM2.5,EEA Greece,µg/m³,14,2024-01-30T00:30:00+05:30,Greece
ΑΤΤΙΚΗ,GR0029A,37.98362732,23.70678902,O3,EEA Greece,µg/m³,27,2024-01-30T00:30:00+05:30,Greece
ΑΤΤΙΚΗ,GR0029A,37.98362732,23.70678902,NO2,EEA Greece,µg/m³,8,2024-01-30T00:30:00+05:30,Greece
ΘΕΣΣΑΛΙΑ,GR0001A,39.36638641,22.94306374,PM2.5,EEA Greece,µg/m³,37,2024-01-30T00:30:00+05:30,Greece
