City,Location,lat,lon,pollutant,source,unit,value,time,country
monitoring network of Athens,NET-GR016A,37.944656, 23.645229999999998,PM2.5,EEA Greece,µg/m³,19,2024-03-10T13:30:00+05:30,Greece
monitoring network of Central Macedonia Region,NET-GR007A,40.58891800000001,23.031689,PM2.5,EEA Greece,µg/m³,8,2024-03-10T13:30:00+05:30,Greece
monitoring network of Patra,NET-GR010A,38.246469,21.734512,NO2,EEA Greece,µg/m³,14,2024-03-10T13:30:00+05:30,Greece
monitoring network of Athens,NET-GR016A,38.03083699999999,23.787372,NO2,EEA Greece,µg/m³,13,2024-03-10T13:30:00+05:30,Greece
monitoring network of Athens,NET-GR016A,37.99511, 23.819420999999995,PM2.5,EEA Greece,µg/m³,10,2024-03-10T13:30:00+05:30,Greece
monitoring network of Athens,NET-GR016A,37.978204,23.726845,NO2,EEA Greece,µg/m³,22,2024-03-10T13:30:00+05:30,Greece
monitoring network of Central Macedonia Region,NET-GR007A,40.73980499999999,22.87606,O3,EEA Greece,µg/m³,52,2024-03-10T13:30:00+05:30,Greece
monitoring network of Patra,NET-GR010A,38.246469,21.734512,PM2.5,EEA Greece,µg/m³,10,2024-03-10T13:30:00+05:30,Greece
monitoring network of Athens,NET-GR016A,38.375295,23.110302,NO2,EEA Greece,µg/m³,1,2024-03-10T13:30:00+05:30,Greece
monitoring network of Athens,NET-GR016A,38.14352099999999,23.758195,PM2.5,EEA Greece,µg/m³,8,2024-03-10T11:30:00+05:30,Greece
monitoring network of Athens,NET-GR016A,38.14352099999999,23.758195,NO2,EEA Greece,µg/m³,3,2024-03-10T11:30:00+05:30,Greece
